ITS2Sequence,Count
C93a,4283039
C1,1943481
C66,1202919
C1c,585775
C1b,112485
1471_C,106082
C1al,89260
1391_C,80069
1385_C,61739
1375_C,57684
C3,55997
C72k,54482
C42.2,42892
1365_C,39531
1392_C,37544
1390_C,35410
C1w,31785
C91,30040
1386_C,28099
C1bh,23024
1366_C,20288
1367_C,19076
1396_C,17814
1368_C,15131
1374_C,14622
C1br,13651
1388_C,12660
1369_C,12506
1373_C,12316
1394_C,11716
1393_C,11345
1395_C,10385
1397_C,9557
C1bc,8652
C1cb,8540
1387_C,7975
1442_C,7335
1409_C,6413
1389_C,6268
1488_C,5110
1482_C,4921
C66a,4916
1603_C,4750
1452_C,4581
1370_C,4282
1479_C,4050
1398_C,3775
1399_C,3719
1689_C,3705
1446_C,3633
1541_C,3542
C1t,3441
1473_C,3154
1450_C,2956
1710_C,2924
1454_C,2869
1465_C,2777
1632_C,2741
1647_C,2739
1429_C,2470
1415_C,2457
1402_C,2425
1595_C,2282
1428_C,2259
1549_C,2227
1451_C,2121
1498_C,2057
1376_C,2040
1562_C,1955
1426_C,1929
1466_C,1869
1427_C,1853
1412_C,1814
1449_C,1667
C1j,1644
1563_C,1628
1529_C,1549
1530_C,1513
C3cy,1456
1467_C,1369
1413_C,1323
1531_C,1289
1532_C,1220
C1h,1183
1509_C,1168
1586_C,1105
1548_C,1100
1533_C,1081
1493_C,1025
1432_C,964
1663_C,953
C1am,945
1742_C,869
1494_C,835
1534_C,831
1490_C,804
1535_C,774
1417_C,769
1485_C,762
1483_C,743
1607_C,729
1550_C,707
1489_C,679
C91d,655
1597_C,638
1462_C,616
C1ao,611
1648_C,590
C3gulf,569
C66d,557
1612_C,551
1669_C,539
C3cm,535
1670_C,508
1711_C,481
1611_C,473
1416_C,462
1453_C,449
1419_C,446
1732_C,395
1484_C,380
1503_C,375
17042_C,368
C1x,360
C1an,330
1649_C,321
1598_C,294
13188_C,285
1414_C,237
1418_C,195
C1l,161
1420_C,145
1445_C,119
1491_C,118
1650_C,114
1651_C,97
1472_C,95
1653_C,71
1626_C,69
1652_C,67
1654_C,58
1655_C,57
1613_C,53
1617_C,52
1656_C,44
1657_C,44
1692_C,44
1658_C,36
1566_C,35
1738_C,28
1690_C,27
1725_C,26
C15,26
1691_C,24
1474_C,23
1475_C,22
1638_C,22
C2a,22
1600_C,18
C3u,18
1557_C,15
1723_C,15
1693_C,14
1726_C,14
1508_C,13
1565_C,13
1724_C,13
1694_C,12
1567_C,11
1639_C,10
1640_C,10
1695_C,10
1739_C,10
1492_C,9
1696_C,9
1480_C,7
1641_C,7
1697_C,7
1481_C,6
1642_C,6
1643_C,6
1558_C,5
1559_C,5
1644_C,5
1645_C,5
1720_C,5
C2b,5
11261_C,4
1568_C,4
1569_C,4
1601_C,4
1646_C,4
1704_C,4
A3,1427716
A6b,172120
1634_A,128013
A3g,58528
1608_A,31696
1371_A,31461
1468_A,8942
1623_A,8916
1542_A,7260
1609_A,6320
1469_A,4557
1384_A,3166
1740_A,2665
1470_A,2422
1447_A,2319
1636_A,2260
1635_A,1855
1624_A,1621
1543_A,1321
1421_A,1277
1551_A,1036
1544_A,1019
1460_A,987
1497_A,837
1627_A,773
1637_A,663
1545_A,628
1546_A,589
1383_A,582
1448_A,576
1486_A,574
1628_A,564
1629_A,545
1625_A,522
1435_A,508
1547_A,486
1422_A,427
1630_A,353
1455_A,320
1506_A,181
1434_A,118
1436_A,112
1574_A,100
1701_A,69
1437_A,64
1621_A,55
1439_A,37
1622_A,36
1440_A,35
1570_A,35
1438_A,26
1596_A,24
1441_A,19
1575_A,19
1476_A,16
1744_A,13
1687_A,11
1619_A,10
1671_A,10
1495_A,8
1702_A,8
1576_A,7
1604_A,7
1672_A,7
1745_A,7
1461_A,6
1577_A,6
1618_A,6
1703_A,6
1578_A,5
1673_A,5
1746_A,5
1496_A,4
1552_A,4
D5,1452397
D4,898571
D9b,556004
D1,283367
1400_D,144638
1401_D,117848
1423_D,49876
1403_D,35557
D4c,31892
1424_D,25033
1405_D,15005
1407_D,14763
1561_D,11869
1524_D,11194
D7,10783
1410_D,10233
1406_D,8574
D1c,7943
1433_D,7819
1588_D,7659
1404_D,6629
D2,6496
D9,6329
D6,6290
1614_D,5771
1555_D,4356
1372_D,4080
1615_D,4061
D4f,3735
D10,3473
1456_D,2619
1377_D,2525
D17m,2482
1430_D,2324
D1b,2145
1378_D,2073
D17j,1947
1477_D,1722
1747_D,1710
1457_D,1663
1478_D,1599
1599_D,1569
1571_D,1568
1698_D,1479
D12,1465
1610_D,1447
1425_D,1341
1721_D,1333
1668_D,1322
D17d,1319
1431_D,1112
1458_D,1052
1379_D,1014
D1l,1010
1659_D,987
D1r,975
1501_D,933
D1h,874
D17n,870
D6c,849
1660_D,842
1736_D,818
1661_D,805
D3b,783
1730_D,773
D2.2,770
1682_D,741
1525_D,727
D5m,709
D1u,702
1620_D,693
1633_D,663
D7a,657
D5k,647
1737_D,569
1526_D,558
1380_D,505
1381_D,499
1510_D,494
1712_D,492
1443_D,453
1505_D,429
D17e,423
1683_D,419
1731_D,409
D17c,405
1527_D,398
1499_D,397
1507_D,394
D5a,389
1564_D,384
1500_D,379
1667_D,371
1684_D,361
1685_D,358
1686_D,357
1700_D,345
1719_D,345
8181_D,344
1538_D,342
1662_D,337
1502_D,318
1382_D,299
17281_D,288
1681_D,277
1528_D,272
9136_D,263
1411_D,243
1722_D,242
1408_D,240
1733_D,233
1572_D,194
1589_D,168
1688_D,164
D17l,163
1581_D,126
1713_D,126
D17k,124
1590_D,121
1553_D,117
1743_D,112
1554_D,109
1591_D,98
1536_D,96
1592_D,90
1593_D,87
1537_D,85
1714_D,80
1715_D,79
1594_D,74
1664_D,71
1665_D,69
1582_D,66
D4p,61
1573_D,56
1717_D,55
1616_D,53
1583_D,52
1579_D,48
1605_D,48
1716_D,47
1666_D,46
1511_D,45
1705_D,45
1718_D,45
1734_D,41
1504_D,36
1487_D,35
1512_D,33
1631_D,27
1735_D,27
1674_D,26
1584_D,25
1513_D,23
D3a,22
1727_D,21
1514_D,19
1585_D,19
1706_D,19
1464_D,16
1515_D,16
1539_D,16
1540_D,16
1675_D,16
1707_D,15
1516_D,14
1699_D,14
1708_D,14
D4i,14
1517_D,12
1560_D,12
1580_D,12
1709_D,12
1728_D,12
1556_D,11
1676_D,11
1677_D,10
1518_D,9
1519_D,9
1678_D,9
1606_D,8
1520_D,7
1587_D,7
1679_D,7
1741_D,7
1459_D,6
1463_D,6
1680_D,6
1521_D,5
1522_D,5
1602_D,5
1523_D,4
1729_D,4
1444_G,4
